country,infected travellers,infection rate travellers,total travellers
Thailand,2956.00,19.6,15081632.65
Indonesia,1139.00,29,3927586.207
Philippines,445.00,12.6,3531746.032
Vietnam,331.00,10,3310000
Cambodia,278.00,45.7,608315.0985
Malaysia,226.00,7.3,3095890.411
Myanmar,131.00,31.7,413249.2114
Singapore,68.00,1.2,5666666.667
Laos,41.00,49.1,83503.05499
Brunei Darussalam,4.00,11.7,34188.03419
India,1347.00,8.7,15482758.62
Sri Lanka,514.00,17.8,2887640.449
Maldives,368.00,18.1,2033149.171
Bangladesh,125.00,10.3,1213592.233
Pakistan,67.00,1.4,4785714.286
Nepal,55.00,6.3,873015.873
Iran,3.00,0.1,3000000
China,25.00,0.1,25000000
Saudi Arabia,6.00,0.1,6000000
Yemen,2.00,38.8,5154.639175
Cuba,453.00,10.5,4314285.714
Dominican Republic,170.00,3.4,5000000
Jamaica,100.00,6.7,1492537.313
"Guadeloupe, France",76.00,2.5,3040000
"Martinique, France",38.00,1.4,2714285.714
Haiti,35.00,27.3,128205.1282
Antigua and Barbuda,14.00,3.2,437500
Barbados,9.00,0.6,1500000
Dominica,4.00,9.9,40404.0404
"Puerto Rico, United States",4.00,0.8,500000
Bahamas,3.00,0.7,428571.4286
"Leeward Antilles, the Netherlands",3.00,0.8,375000
Trinidad and Tobago,3.00,1,300000
Saint Lucia,2.00,0.5,400000
Brazil,299.00,2.5,11960000
Colombia,123.00,3.2,3843750
Paraguay,75.00,23.7,316455.6962
Ecuador,39.00,2.8,1392857.143
Venezuela,39.00,4.5,866666.6667
Peru,31.00,1.2,2583333.333
Argentina,18.00,0.3,6000000
"French Guiana, France",14.00,1.7,823529.4118
Bolivia,9.00,1.9,473684.2105
Guyana,4.00,7.9,50632.91139
Chile,3.00,0.1,3000000
Mexico,303.00,3.2,9468750
Costa Rica,103.00,7.2,1430555.556
Guatemala,29.00,6.5,446153.8462
Nicaragua,22.00,8.6,255813.9535
Honduras,15.00,5.6,267857.1429
Panama,15.00,2,750000
Belize,8.00,8.3,96385.54217
El Salvador,8.00,3.4,235294.1176
"Réunion, France",154.00,5.3,2905660.377
Seychelles,82.00,9.7,845360.8247
Kenya,76.00,3.5,2171428.571
Tanzania,66.00,5,1320000
Somalia,34.00,17,200000
Ethiopia,15.00,2,750000
Mozambique,11.00,3.1,354838.7097
Uganda,11.00,2.1,523809.5238
Mauritius,10.00,0.3,3333333.333
Comoros,9.00,11.7,76923.07692
Djibouti,9.00,7.2,125000
Madagascar,8.00,1,800000
Eritrea,6.00,4.6,130434.7826
"Mayotte, France",6.00,3.3,181818.1818
Côte d’Ivoire,111.00,10.1,1099009.901
Burkina Faso,48.00,15.1,317880.7947
Nigeria,37.00,1.4,2642857.143
Senegal,23.00,0.9,2555555.556
Ghana,20.00,1.6,1250000
Togo,20.00,7.8,256410.2564
Benin,16.00,6,266666.6667
Mali,14.00,2.2,636363.6364
Mauritania,6.00,3.2,187500
Guinea,4.00,1.8,222222.2222
Niger,4.00,2.4,166666.6667
Sierra Leone,3.00,2.2,136363.6364
Cabo Verde,2.00,0.1,2000000
Angola,28.00,1.9,1473684.211
Cameroon,25.00,2.7,925925.9259
Democratic Republic of the Congo,15.00,4.6,326086.9565
Congo (Brazzaville),10.00,2.1,476190.4762
Equatorial Guinea,6.00,3.6,166666.6667
Gabon,5.00,1.6,312500
Central African Republic,3.00,6.8,44117.64706
Egypt,22.00,0.2,11000000
Sudan,5.00,2.1,238095.2381
South Africa,7.00,0.1,7000000
Namibia,5.00,0.7,714285.7143
Botswana,3.00,3.7,81081.08108
Polynesia,236.00,78.5,300636.9427
"French Polynesia, France",229.00,77,297402.5974
Samoa,2.00,99.3,2014.098691
Melanesia,57.00,24.4,233606.5574
"New Caledonia, France",37.00,20.4,181372.549
Fiji,12.00,29.8,40268.45638
Papua New Guinea,5.00,47,10638.29787
